id,datetime,weekday,hour,grid_w,grid_h,evento,obras,manifestacoes,holiday,holiday_eve,humidity,cloud,tempC,windHph,pressureIn,precipIn,condition,cOutros,cObstrução,cTráfego_Pesado,cTráfego_Livre,cIncidentes,cSemáforo,cClima
0,2018-06-29 19:46:18,4,19,25,15,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,1,0,0,0,0,0,0
1,2018-06-29 19:21:56,4,19,17,18,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,0,0,0
1,2018-06-29 19:21:56,4,19,13,21,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,0,0,0
2,2018-06-29 19:10:00,4,19,34,10,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,1,1,0,0,0,0
2,2018-06-29 19:10:00,4,19,34,13,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,1,1,0,0,0,0
2,2018-06-29 19:10:00,4,19,34,12,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,1,1,0,0,0,0
2,2018-06-29 19:10:00,4,19,33,10,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,1,1,0,0,0,0
2,2018-06-29 19:10:00,4,19,33,11,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,1,1,0,0,0,0
3,2018-06-29 19:02:43,4,19,21,36,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
3,2018-06-29 19:02:43,4,19,20,28,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
3,2018-06-29 19:02:43,4,19,21,35,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,18,55,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,13,55,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,11,68,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,21,47,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,7,65,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,11,73,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,8,63,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,14,59,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,5,57,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,9,62,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,8,50,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,16,47,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,14,46,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,15,50,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,19,55,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,6,54,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,9,51,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,11,47,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,15,47,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,16,50,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,20,48,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
4,2018-06-29 18:56:10,4,18,11,48,0,0,0,0,0,96,81,17.50,5.00,30.50,0.05,1183,0,0,1,0,1,0,0
