k,cOutros,cObstrução,cTráfego_Pesado,cTráfego_Livre,cIncidentes,cSemáforo,cClima,day_of_week,hour,grid_w,grid_h,evento,obras,manifestacoes,holiday,holiday_eve,humidity,cloud,tempC,windHph,pressureIn,precipIn,condition
0,0,0,1,0,0,0,0,1,11,59,64,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,59,65,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,64,85,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,64,84,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,58,61,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,60,65,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,60,64,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
0,0,0,1,0,0,0,0,1,11,59,63,0,0,0,0,0,86,27,22.20,4.00,30.50,0.02,1063
1,0,0,1,0,0,0,0,2,17,58,64,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
1,0,0,1,0,0,0,0,2,17,58,63,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
1,0,0,1,0,0,0,0,2,17,50,51,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
1,0,0,1,0,0,0,0,2,17,48,47,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
1,0,0,1,0,0,0,0,2,17,46,55,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
1,0,0,1,0,0,0,0,2,17,50,52,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
1,0,0,1,0,0,0,0,2,17,49,47,0,0,0,0,0,86,35,16.00,13.30,30.50,0.01,1240
3,0,1,1,0,1,0,0,3,15,59,64,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
3,0,1,1,0,1,0,0,3,15,59,65,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
3,0,1,1,0,1,0,0,3,15,56,54,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
3,0,1,1,0,1,0,0,3,15,56,56,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
3,0,1,1,0,1,0,0,3,15,60,65,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
3,0,1,1,0,1,0,0,3,15,56,55,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
3,0,1,1,0,1,0,0,3,15,60,64,0,0,0,0,0,76,14,22.40,1.80,30.60,0.00,1000
