date;hour;humidity;cloud;tempC;windHph;pressureIn;precipIn;condition
2018-04-01;0;92;46;18.80;9.40;30.50;0.00;1003
2018-04-01;1;93;48;18.50;8.50;30.50;0.00;1003
2018-04-01;2;93;49;18.20;7.60;30.50;0.00;1006
2018-04-01;3;94;51;17.90;6.80;30.50;0.00;1006
2018-04-01;4;94;58;17.70;6.70;30.50;0.00;1006
2018-04-01;5;94;66;17.60;6.60;30.50;0.00;1063
2018-04-01;6;94;73;17.40;6.50;30.50;0.00;1063
2018-04-01;7;89;61;18.90;8.50;30.50;0.00;1063
2018-04-01;8;84;48;20.30;10.40;30.50;0.00;1003
2018-04-01;9;78;36;21.80;12.40;30.50;0.00;1003
2018-04-01;10;72;32;23.40;12.00;30.50;0.00;1003
2018-04-01;11;65;28;25.10;11.60;30.50;0.00;1003
2018-04-01;12;59;24;26.70;11.30;30.50;0.00;1003
2018-04-01;13;57;25;26.90;12.00;30.50;0.00;1003
2018-04-01;14;55;26;27.20;12.70;30.50;0.00;1003
2018-04-01;15;53;27;27.40;13.40;30.50;0.00;1003
2018-04-01;16;60;45;25.90;13.40;30.50;0.00;1003
2018-04-01;17;66;63;24.40;13.30;30.50;0.00;1063
2018-04-01;18;73;81;23.00;13.20;30.50;0.00;1063
2018-04-01;19;78;62;21.90;13.30;30.50;0.00;1063
2018-04-01;20;83;44;20.80;13.40;30.50;0.00;1003
2018-04-01;21;88;25;19.70;13.40;30.50;0.00;1003
2018-04-01;22;89;43;19.30;12.50;30.50;0.00;1003
2018-04-01;23;90;60;18.90;11.50;30.50;0.00;1063
2018-04-02;0;91;77;18.50;10.50;30.50;0.00;1063
2018-04-02;1;92;65;18.20;9.90;30.50;0.00;1063
2018-04-02;2;92;53;17.90;9.20;30.50;0.00;1003
2018-04-02;3;92;42;17.60;8.50;30.50;0.00;1003
2018-04-02;4;93;55;17.30;8.30;30.50;0.00;1003
2018-04-02;5;93;69;17.10;8.00;30.50;0.00;1063
2018-04-02;6;93;83;16.80;7.70;30.50;0.00;1063
2018-04-02;7;87;64;18.50;8.70;30.50;0.00;1063
2018-04-02;8;82;45;20.30;9.70;30.50;0.00;1003
2018-04-02;9;76;25;22.00;10.70;30.50;0.00;1003
2018-04-02;10;71;41;23.60;10.70;30.50;0.00;1003
2018-04-02;11;65;56;25.10;10.60;30.50;0.00;1063
2018-04-02;12;60;71;26.60;10.60;30.50;0.00;1063
2018-04-02;13;58;56;26.90;10.90;30.50;0.00;1063
2018-04-02;14;57;41;27.20;11.20;30.40;0.00;1003
2018-04-02;15;55;26;27.60;11.50;30.40;0.00;1003
2018-04-02;16;61;47;26.10;11.50;30.40;0.00;1003
2018-04-02;17;68;67;24.60;11.60;30.40;0.00;1063
2018-04-02;18;74;87;23.10;11.60;30.40;0.00;1063
2018-04-02;19;79;69;22.00;12.00;30.40;0.00;1063
2018-04-02;20;83;51;21.00;12.40;30.40;0.00;1003
2018-04-02;21;88;33;19.90;12.90;30.50;0.00;1003
2018-04-02;22;89;46;19.70;12.00;30.50;0.00;1003
2018-04-02;23;90;58;19.40;11.10;30.50;0.00;1063
2018-04-03;0;91;71;19.10;10.30;30.50;0.00;1063
2018-04-03;1;91;59;18.70;9.60;30.50;0.00;1063
2018-04-03;2;92;48;18.20;8.80;30.40;0.00;1003
2018-04-03;3;92;36;17.80;8.10;30.40;0.00;1003
2018-04-03;4;92;47;17.40;7.70;30.40;0.00;1003
2018-04-03;5;92;59;17.10;7.40;30.40;0.00;1063
2018-04-03;6;93;70;16.80;7.10;30.40;0.00;1063
2018-04-03;7;86;53;18.60;8.70;30.40;0.00;1063
2018-04-03;8;80;35;20.50;10.20;30.50;0.00;1000
2018-04-03;9;73;18;22.30;11.80;30.50;0.00;1000
2018-04-03;10;67;16;24.10;11.30;30.50;0.00;1000
2018-04-03;11;61;14;25.90;10.90;30.50;0.00;1000
2018-04-03;12;55;12;27.70;10.50;30.40;0.00;1000
2018-04-03;13;53;15;28.00;10.90;30.40;0.00;1000
2018-04-03;14;52;18;28.30;11.20;30.40;0.00;1003
2018-04-03;15;50;21;28.60;11.60;30.40;0.00;1003
2018-04-03;16;58;40;26.90;12.10;30.40;0.00;1003
2018-04-03;17;65;59;25.10;12.60;30.40;0.00;1063
2018-04-03;18;73;78;23.40;13.10;30.40;0.00;1063
2018-04-03;19;78;59;22.20;13.40;30.40;0.00;1063
2018-04-03;20;82;41;21.10;13.70;30.40;0.00;1003
2018-04-03;21;87;22;19.90;14.00;30.40;0.00;1003
2018-04-03;22;89;44;19.50;12.70;30.40;0.00;1003
2018-04-03;23;90;66;19.00;11.50;30.40;0.01;1186
2018-04-04;0;91;88;18.60;10.20;30.40;0.01;1186
2018-04-04;1;91;71;18.20;9.60;30.40;0.00;1186
2018-04-04;2;91;54;17.80;9.00;30.40;0.00;1003
2018-04-04;3;91;36;17.40;8.40;30.40;0.00;1003
2018-04-04;4;91;32;17.20;8.30;30.40;0.00;1003
2018-04-04;5;91;28;17.00;8.30;30.40;0.00;1003
2018-04-04;6;91;24;16.80;8.30;30.40;0.00;1003
2018-04-04;7;85;24;18.50;9.30;30.40;0.00;1003
2018-04-04;8;79;24;20.30;10.40;30.40;0.00;1003
2018-04-04;9;73;23;22.00;11.50;30.50;0.00;1003
